grouping,method,n,terminal_mean,reasoning_mean,path_mean,total_mean,exact_rate,policy_clean_rate,match_rate_mean,fast_on_deep_mean,deep_on_fast_mean,agent_fast_count_mean,task_fast_count_mean,tokens_mean,pair_class,phase,archetype,family
method+pair_class,risky_ps_safe_conditional,3,2.5,5.291321666666667,0.06386666666666667,7.855188333333333,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,48110.666666666664,agent_fast__task_fast,,,
method+pair_class,risky_ps_safe_conditional_ix,56,10.848214285714286,5.264137857142857,0.07115,16.183502142857144,0.23214285714285715,0.3392857142857143,0.7785714285714286,0.7321428571428571,0.375,1.3571428571428572,1.0,53791.19642857143,agent_deep__task_deep,,,
method+pair_class,risky_ps_safe_conditional_ix,22,1.2954545454545454,5.1138200000000005,0.07220454545454545,6.48147909090909,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,42485.545454545456,agent_deep__task_fast,,,
method+pair_class,risky_ps_safe_conditional_ix,19,11.131578947368421,5.265581842105263,0.0639842105263158,16.461145,0.0,0.05263157894736842,0.39999999999999997,2.6842105263157894,0.3157894736842105,3.3684210526315788,1.0,44832.73684210526,agent_fast__task_deep,,,
method+pair_class,risky_ps_safe_conditional_ix,3,2.3333333333333335,5.281181666666667,0.06386666666666667,7.678381666666667,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,48032.666666666664,agent_fast__task_fast,,,
method+phase+pair_class,direct_multistage_exp3,66,10.053030303030303,5.082842727272728,0.07312727272727274,15.209000303030304,0.22727272727272727,0.36363636363636365,0.8303030303030303,0.5,0.3484848484848485,1.1515151515151516,1.0,52583.56060606061,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,direct_multistage_exp3,9,10.722222222222221,5.473801666666667,0.06094444444444444,16.256968333333333,0.0,0.1111111111111111,0.35555555555555557,2.7777777777777777,0.4444444444444444,3.3333333333333335,1.0,45273.555555555555,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,direct_multistage_exp3,18,1.6111111111111112,4.733086666666667,0.07131666666666667,6.415514444444444,0.2777777777777778,0.8333333333333334,0.24444444444444446,0.0,3.7777777777777777,1.2222222222222223,5.0,39170.666666666664,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,direct_multistage_exp3,7,0.42857142857142855,5.379672142857143,0.06712857142857143,5.8753721428571435,0.7142857142857143,1.0,0.6571428571428571,0.0,1.7142857142857142,3.2857142857142856,5.0,49066.42857142857,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,direct_multistage_exp3_local,66,10.424242424242424,5.109735757575758,0.07260000000000001,15.60657818181818,0.2878787878787879,0.2878787878787879,0.8363636363636364,0.5454545454545454,0.2727272727272727,1.2727272727272727,1.0,52555.606060606064,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,direct_multistage_exp3_local,9,6.5,5.111784444444444,0.0641888888888889,11.675973333333333,0.1111111111111111,0.2222222222222222,0.4444444444444444,2.5555555555555554,0.2222222222222222,3.3333333333333335,1.0,43319.22222222222,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,direct_multistage_exp3_local,19,1.736842105263158,4.776312368421053,0.07059473684210527,6.583749210526316,0.3157894736842105,0.8421052631578947,0.2947368421052632,0.0,3.526315789473684,1.4736842105263157,5.0,39914.57894736842,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,direct_multistage_exp3_local,6,0.5,4.364536666666667,0.06636666666666667,4.930903333333333,0.6666666666666666,1.0,0.7000000000000001,0.0,1.5,3.5,5.0,40493.166666666664,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,epsilon_exp3,66,8.712121212121213,5.140587045454546,0.07321818181818184,13.925926439393939,0.30303030303030304,0.3181818181818182,0.8303030303030303,0.6212121212121212,0.22727272727272727,1.393939393939394,1.0,52829.07575757576,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,epsilon_exp3,9,11.333333333333334,5.375538333333334,0.06490000000000001,16.773771666666665,0.0,0.3333333333333333,0.5333333333333333,2.3333333333333335,0.0,3.3333333333333335,1.0,48079.444444444445,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,epsilon_exp3,20,1.175,5.4031372499999994,0.069815,6.64795225,0.45,0.9,0.26,0.0,3.7,1.3,5.0,45161.55,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,epsilon_exp3,5,1.7,3.938707,0.0659,5.704607,0.2,0.8,0.64,0.0,1.8,3.2,5.0,35735.2,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,naive_mixed,55,11.763636363636364,5.202942999999999,0.07398181818181818,17.04056118181818,0.16363636363636364,0.34545454545454546,0.8618181818181818,0.4,0.2909090909090909,1.1090909090909091,1.0,54673.8,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,naive_mixed,20,9.275,4.96796175,0.065365,14.30832675,0.0,0.15,0.5,2.5,0.0,3.5,1.0,44278.2,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,naive_mixed,24,1.2708333333333333,5.226314375,0.0718125,6.568960208333333,0.4166666666666667,0.875,0.23333333333333336,0.0,3.8333333333333335,1.1666666666666667,5.0,43377.375,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,naive_mixed,1,1.5,4.34892,0.06480000000000001,5.91372,0.0,1.0,0.6,0.0,2.0,3.0,5.0,38646.0,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,naive_mixed_avg,73,10.568493150684931,5.430303356164384,0.07099589041095891,16.069792397260276,0.1643835616438356,0.3150684931506849,0.6630136986301369,0.8082191780821918,0.8767123287671232,0.9315068493150684,1.0,54438.438356164384,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,naive_mixed_avg,2,17.75,4.6023499999999995,0.0648,22.41715,0.0,0.5,0.4,2.5,0.5,3.0,1.0,40840.0,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,naive_mixed_avg,25,1.44,5.281426,0.071276,6.792701999999999,0.4,0.88,0.17600000000000002,0.0,4.12,0.88,5.0,43511.68,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,random_path,62,11.943548387096774,5.1912029838709675,0.07212903225806452,17.206880403225806,0.16129032258064516,0.27419354838709675,0.8290322580645161,0.5645161290322581,0.2903225806451613,1.2741935483870968,1.0,53833.645161290326,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,random_path,13,10.384615384615385,5.577805,0.06441538461538462,16.026835769230768,0.0,0.07692307692307693,0.4,2.6923076923076925,0.3076923076923077,3.3846153846153846,1.0,47941.846153846156,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,random_path,19,1.3421052631578947,5.290806578947368,0.0713578947368421,6.704269736842105,0.42105263157894735,0.8947368421052632,0.2526315789473685,0.0,3.736842105263158,1.263157894736842,5.0,44248.36842105263,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,random_path,6,1.75,3.4436774999999997,0.06355000000000001,5.2572275,0.3333333333333333,0.8333333333333334,0.7000000000000001,0.0,1.5,3.5,5.0,32442.0,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps,64,11.03125,5.27050625,0.0714796875,16.3732359375,0.171875,0.328125,0.75625,0.78125,0.4375,1.34375,1.0,53773.234375,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps,11,11.363636363636363,5.297844090909091,0.06287272727272727,16.72435318181818,0.09090909090909091,0.18181818181818182,0.4,2.727272727272727,0.2727272727272727,3.4545454545454546,1.0,45120.72727272727,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps,22,1.2954545454545454,5.2448625,0.07232727272727274,6.612644318181818,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,43656.0,agent_deep__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps,3,1.8333333333333333,4.839016666666667,0.06386666666666667,6.7362166666666665,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,44674.666666666664,agent_fast__task_fast,trap_pre_switch,,
method+phase+pair_class,risky_ps_direct_cost,62,11.516129032258064,5.256393387096774,0.07139193548387097,16.84391435483871,0.12903225806451613,0.3387096774193548,0.7645161290322581,0.7419354838709677,0.43548387096774194,1.3064516129032258,1.0,53612.6129032258,agent_deep__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps_direct_cost,13,11.384615384615385,5.365980769230769,0.06528461538461539,16.81588076923077,0.07692307692307693,0.07692307692307693,0.49230769230769234,2.3846153846153846,0.15384615384615385,3.230769230769231,1.0,46807.692307692305,agent_fast__task_deep,target_post_switch,,
method+phase+pair_class,risky_ps_direct_cost,22,1.1136363636363635,4.881214318181819,0.07232727272727274,6.067177954545454,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,40510.86363636364,agent_deep__task_fast,trap_pre_switch,,
