method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,total,exact,strict_clean,clear_success_proxy,auxiliary_success_proxy
epsilon_exp3,stage4,deep,fast,10,10,10.3,4.9234985,15.2872185,0.1,0.0,0.1,0.0
epsilon_exp3,stage4,fast,deep,23,23,0.8478260869565217,5.311299565217391,6.228499565217391,0.43478260869565216,0.43478260869565216,0.43478260869565216,1.0
epsilon_exp3,stage4,fast,fast,2,2,1.5,4.396789999999999,5.966189999999999,0.0,0.0,0.0,1.0
epsilon_exp3,stage5,deep,deep,69,69,11.565217391304348,5.2108335507246375,16.847024855072462,0.21739130434782608,0.07246376811594203,0.21739130434782608,0.2318840579710145
epsilon_exp3,stage5,deep,fast,6,6,13.0,5.274041666666667,18.337958333333333,0.0,0.0,0.0,0.0
epsilon_exp3,stage5,fast,deep,22,22,1.0227272727272727,5.3813581818181815,6.474408181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,1.0
epsilon_exp3,stage5,fast,fast,3,3,0.0,4.1878633333333335,4.250296666666666,1.0,1.0,1.0,1.0
risky_ps_linear,ALL,deep,deep,223,75,12.31390134529148,5.24581197309417,17.631344260089687,0.12556053811659193,0.03587443946188341,0.12556053811659193,0.27802690582959644
risky_ps_linear,ALL,deep,fast,77,55,11.272727272727273,5.236623766233766,16.577245844155843,0.1038961038961039,0.05194805194805195,0.1038961038961039,0.18181818181818182
risky_ps_linear,ALL,fast,deep,107,46,3.6682242990654204,5.474996308411215,9.21507761682243,0.32710280373831774,0.32710280373831774,0.32710280373831774,0.8598130841121495
risky_ps_linear,ALL,fast,fast,93,77,6.704301075268817,5.069171182795699,11.843495913978495,0.25806451612903225,0.1935483870967742,0.25806451612903225,0.5591397849462365
risky_ps_linear,stage1,fast,deep,30,30,10.733333333333333,5.542985166666667,16.3468585,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5
risky_ps_linear,stage1,fast,fast,70,70,8.628571428571428,5.139559571428571,13.839049571428571,0.2,0.11428571428571428,0.2,0.4142857142857143
risky_ps_linear,stage2,deep,deep,27,27,12.351851851851851,5.330828148148148,17.75656148148148,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333
risky_ps_linear,stage2,deep,fast,48,48,11.875,5.194305520833334,17.1381721875,0.0625,0.0625,0.0625,0.20833333333333334
risky_ps_linear,stage2,fast,deep,13,13,1.0384615384615385,5.595422307692308,6.707622307692308,0.3076923076923077,0.3076923076923077,0.3076923076923077,1.0
risky_ps_linear,stage2,fast,fast,12,12,0.75,5.004934166666667,5.8233925,0.5,0.5,0.5,1.0
risky_ps_linear,stage3,deep,deep,59,59,12.466101694915254,5.187368898305085,17.72522652542373,0.1016949152542373,0.03389830508474576,0.1016949152542373,0.2542372881355932
risky_ps_linear,stage3,deep,fast,16,16,10.5,5.45026625,16.01694125,0.1875,0.0625,0.1875,0.25
risky_ps_linear,stage3,fast,deep,20,20,0.825,5.1983255,6.0955855,0.45,0.45,0.45,1.0
risky_ps_linear,stage3,fast,fast,5,5,1.2,5.766638,7.033618000000001,0.2,0.2,0.2,1.0
risky_ps_linear,stage4,deep,deep,69,69,12.41304347826087,5.240781014492754,17.72493463768116,0.11594202898550725,0.043478260869565216,0.11594202898550725,0.2753623188405797
risky_ps_linear,stage4,deep,fast,6,6,7.833333333333333,5.274189166666667,13.173155833333333,0.16666666666666666,0.0,0.16666666666666666,0.0
risky_ps_linear,stage4,fast,deep,22,22,0.8863636363636364,5.51693,6.475311818181818,0.4090909090909091,0.4090909090909091,0.4090909090909091,1.0
risky_ps_linear,stage4,fast,fast,3,3,1.0,3.80908,4.874313333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
risky_ps_linear,stage5,deep,deep,68,68,12.066176470588236,5.267868455882353,17.405202279411764,0.11764705882352941,0.04411764705882353,0.11764705882352941,0.27941176470588236
risky_ps_linear,stage5,deep,fast,7,7,11.857142857142858,5.0062814285714285,16.92938142857143,0.14285714285714285,0.0,0.14285714285714285,0.0
risky_ps_linear,stage5,fast,deep,22,22,0.9545454545454546,5.520708636363636,6.547267727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0
risky_ps_linear,stage5,fast,fast,3,3,0.5,3.78137,4.346636666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
