split,method,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
post,risky_ps_linear,75,8.86,5.96,4.4128928,1.42,0.07207200000000001,13.3449648,0.49333333333333335,0.28,0.49333333333333335,0.6666666666666666,0.4533333333333333,0.6666666666666666,0.49333333333333335,0.8,0.44,3.76,12.866666666666667
post,risky_ps_old,75,7.8533333333333335,5.453333333333333,4.284280266666666,1.46,0.07212666666666667,12.209740266666667,0.5466666666666666,0.22666666666666666,0.5466666666666666,0.68,0.5066666666666667,0.68,0.5466666666666666,0.8266666666666667,0.44,3.7333333333333334,12.64
post,risky_ps_safe_conditional,75,6.693333333333333,4.526666666666666,4.3237212666666665,1.4466666666666668,0.07121066666666667,11.088265266666667,0.64,0.24,0.64,0.64,0.56,0.64,0.64,0.84,0.37333333333333335,3.7866666666666666,12.613333333333333
post,risky_ps_safe_conditional_ix,75,6.78,4.466666666666667,4.301271466666667,1.48,0.07129733333333334,11.152568800000001,0.6133333333333333,0.2,0.6133333333333333,0.6666666666666666,0.56,0.6666666666666666,0.6133333333333333,0.8666666666666667,0.36,3.7733333333333334,12.56
post_local_nontransfer,risky_ps,75,6.0,4.08,4.296397466666667,1.22,0.07185333333333334,10.3682508,0.6933333333333334,0.29333333333333333,0.6933333333333334,0.6933333333333334,0.6,0.6933333333333334,0.6933333333333334,0.64,0.52,3.84,12.933333333333334
post_local_nontransfer,risky_ps_direct_cost,75,7.753333333333333,4.913333333333333,4.3602274,1.58,0.07122,12.184780733333334,0.5466666666666666,0.2,0.5466666666666666,0.6533333333333333,0.49333333333333335,0.6533333333333333,0.5466666666666666,0.8933333333333333,0.48,3.6266666666666665,12.666666666666666
post_local_nontransfer,risky_ps_ix,75,7.213333333333333,5.193333333333333,4.433639933333334,1.4466666666666668,0.07125200000000001,11.718225266666666,0.6266666666666667,0.22666666666666666,0.6266666666666667,0.7066666666666667,0.5733333333333334,0.7066666666666667,0.6266666666666667,0.7866666666666666,0.5333333333333333,3.68,13.013333333333334
post_local_nontransfer,risky_ps_linear,75,8.86,5.96,4.4128928,1.42,0.07207200000000001,13.3449648,0.49333333333333335,0.28,0.49333333333333335,0.6666666666666666,0.4533333333333333,0.6666666666666666,0.49333333333333335,0.8,0.44,3.76,12.866666666666667
post_local_nontransfer,risky_ps_old,75,7.8533333333333335,5.453333333333333,4.284280266666666,1.46,0.07212666666666667,12.209740266666667,0.5466666666666666,0.22666666666666666,0.5466666666666666,0.68,0.5066666666666667,0.68,0.5466666666666666,0.8266666666666667,0.44,3.7333333333333334,12.64
post_local_nontransfer,risky_ps_safe_conditional,75,6.693333333333333,4.526666666666666,4.3237212666666665,1.4466666666666668,0.07121066666666667,11.088265266666667,0.64,0.24,0.64,0.64,0.56,0.64,0.64,0.84,0.37333333333333335,3.7866666666666666,12.613333333333333
