method,mismatch_bucket,n,terminal,legacy_terminal,reasoning,mode_mismatch_cost,path,total,exact,exact_mode_match,clear_success_proxy,auxiliary_success_proxy,strict_clean,policy_clean,subset_clean,fast_on_deep,deep_on_fast,match_count,llm_calls
risky_ps_linear,deep_on_fast_required,40,3.0125,2.0625,4.658763625,1.1125,0.07165750000000001,7.742921125,0.825,0.0,0.825,0.9,0.8,0.9,0.825,0.0,2.225,2.775,13.2
risky_ps_linear,fast_on_deep_required,21,10.285714285714286,7.023809523809524,4.318052619047619,2.357142857142857,0.06760000000000001,14.671366904761905,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,1.5714285714285714,0.0,3.4285714285714284,11.238095238095237
risky_ps_old,all_stage_modes_match,17,7.411764705882353,5.205882352941177,3.7700229411764705,0.0,0.07530588235294118,11.257093529411765,0.5294117647058824,1.0,0.5294117647058824,0.8823529411764706,0.5294117647058824,0.8823529411764706,0.5294117647058824,0.0,0.0,5.0,12.529411764705882
risky_ps_old,both_mismatch_types,21,6.380952380952381,4.380952380952381,4.513749285714286,2.2857142857142856,0.07023809523809524,10.964939761904763,0.6190476190476191,0.0,0.6190476190476191,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.6190476190476191,1.1904761904761905,1.0,2.8095238095238093,12.80952380952381
risky_ps_old,deep_on_fast_required,37,2.6216216216216215,1.7027027027027026,4.778519864864865,1.162162162162162,0.07120270270270271,7.471344189189189,0.8648648648648649,0.0,0.8648648648648649,0.8648648648648649,0.7837837837837838,0.8648648648648649,0.8648648648648649,0.0,2.324324324324324,2.675675675675676,13.108108108108109
risky_ps_old,fast_on_deep_required,25,9.28,6.62,4.3569082,2.22,0.069512,13.7064202,0.48,0.0,0.48,0.6,0.48,0.6,0.48,1.48,0.0,3.52,11.64
risky_ps_safe_conditional,all_stage_modes_match,18,4.0,2.4722222222222223,3.4712805555555555,0.0,0.07272777777777778,7.544008333333333,0.8333333333333334,1.0,0.8333333333333334,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.8333333333333334,0.0,0.0,5.0,12.222222222222221
risky_ps_safe_conditional,both_mismatch_types,14,10.964285714285714,8.678571428571429,4.908905357142857,2.642857142857143,0.06877142857142858,15.9419625,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.4285714285714286,1.0,2.5714285714285716,13.0
risky_ps_safe_conditional,deep_on_fast_required,39,0.8974358974358975,0.48717948717948717,4.788846666666666,1.1282051282051282,0.07160769230769232,5.757890256410256,0.9743589743589743,0.0,0.9743589743589743,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.9743589743589743,0.0,2.2564102564102564,2.7435897435897436,13.205128205128204
risky_ps_safe_conditional,fast_on_deep_required,29,8.327586206896552,5.327586206896552,4.518018620689655,2.2241379310344827,0.06874137931034482,12.914346206896552,0.4827586206896552,0.0,0.4827586206896552,0.6551724137931034,0.4827586206896552,0.6551724137931034,0.4827586206896552,1.4827586206896552,0.0,3.5172413793103448,11.758620689655173
risky_ps_safe_conditional_ix,all_stage_modes_match,15,5.3,3.033333333333333,3.9116933333333335,0.0,0.07396666666666668,9.28566,0.6666666666666666,1.0,0.6666666666666666,0.7333333333333333,0.5333333333333333,0.7333333333333333,0.6666666666666666,0.0,0.0,5.0,12.866666666666667
risky_ps_safe_conditional_ix,both_mismatch_types,19,5.105263157894737,3.263157894736842,4.701396315789474,2.3947368421052633,0.06983684210526316,9.876496315789474,0.6842105263157895,0.0,0.6842105263157895,0.7894736842105263,0.6842105263157895,0.7894736842105263,0.6842105263157895,1.263157894736842,1.0,2.736842105263158,13.157894736842104
risky_ps_safe_conditional_ix,deep_on_fast_required,33,2.1515151515151514,1.6666666666666667,4.593360909090909,1.2424242424242424,0.07070606060606062,6.815582121212121,0.9090909090909091,0.0,0.9090909090909091,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.9090909090909091,0.0,2.484848484848485,2.515151515151515,12.636363636363637
risky_ps_safe_conditional_ix,fast_on_deep_required,33,7.909090909090909,5.2272727272727275,4.227426666666666,1.8636363636363635,0.06956060606060606,12.206078181818182,0.5454545454545454,0.0,0.5454545454545454,0.6060606060606061,0.5151515151515151,0.6060606060606061,0.5454545454545454,1.2424242424242424,0.0,3.757575757575758,11.666666666666666
