method,stage,required,actual,n_stage_observations,episode_n,terminal,reasoning,mode_mismatch_cost,total,exact,exact_mode_match,strict_clean,clear_success_proxy,auxiliary_success_proxy
risky_ps_ix,stage4,fast,deep,22,22,0.0,5.564721590909091,1.7954545454545454,5.635994318181818,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,stage4,fast,fast,3,3,0.0,3.209785,0.6666666666666666,3.270885,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,stage5,deep,deep,68,68,7.323529411764706,4.335163235294117,1.2279411764705883,11.730685294117647,0.6323529411764706,0.25,0.5735294117647058,0.6323529411764706,0.7205882352941176
risky_ps_ix,stage5,deep,fast,7,7,6.142857142857143,5.390270714285714,3.5714285714285716,11.597185,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714
risky_ps_ix,stage5,fast,deep,22,22,0.0,5.501854545454545,1.75,5.573072727272727,1.0,0.0,1.0,1.0,1.0
risky_ps_ix,stage5,fast,fast,3,3,0.0,3.67081,1.0,3.73231,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,ALL,deep,deep,240,73,8.572916666666666,4.2949635,0.98125,12.941368083333334,0.5125,0.35,0.4625,0.5125,0.6958333333333333
risky_ps_linear,ALL,deep,fast,60,39,10.008333333333333,4.88461,3.175,14.959351666666667,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,0.55
risky_ps_linear,ALL,fast,deep,107,58,2.9299065420560746,4.890730467289719,1.691588785046729,7.891582803738317,0.8317757009345794,0.0,0.822429906542056,0.8317757009345794,0.897196261682243
risky_ps_linear,ALL,fast,fast,93,65,3.774193548387097,4.183311559139785,1.1881720430107527,8.026329838709678,0.7849462365591398,0.22580645161290322,0.7634408602150538,0.7849462365591398,0.8494623655913979
risky_ps_linear,stage1,fast,deep,43,43,7.290697674418604,4.756248604651163,1.686046511627907,12.11809511627907,0.5813953488372093,0.0,0.5581395348837209,0.5813953488372093,0.7441860465116279
risky_ps_linear,stage1,fast,fast,57,57,6.157894736842105,4.258352719298245,1.2456140350877194,10.487533421052632,0.6491228070175439,0.3684210526315789,0.6140350877192983,0.6491228070175439,0.7543859649122807
risky_ps_linear,stage2,deep,deep,42,42,7.309523809523809,4.209090833333334,0.42857142857142855,11.594055119047619,0.5714285714285714,0.5,0.5,0.5714285714285714,0.7619047619047619
risky_ps_linear,stage2,deep,fast,33,33,10.833333333333334,4.6722771212121215,2.6818181818181817,15.573395303030303,0.3939393939393939,0.0,0.3939393939393939,0.3939393939393939,0.5454545454545454
risky_ps_linear,stage2,fast,deep,8,8,0.0,5.546553125,2.0,5.619753125,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage2,fast,fast,17,17,0.0,4.22973,1.2352941176470589,4.296300588235294,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage3,deep,deep,63,63,9.015873015873016,4.308003968253968,0.9920634920634921,13.39715,0.47619047619047616,0.3333333333333333,0.42857142857142855,0.47619047619047616,0.6666666666666666
risky_ps_linear,stage3,deep,fast,12,12,8.041666666666666,4.963559166666666,3.6666666666666665,13.070992500000001,0.5833333333333334,0.0,0.5833333333333334,0.5833333333333334,0.6666666666666666
risky_ps_linear,stage3,fast,deep,16,16,0.0,4.8215471875,1.75,4.8929221875,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage3,fast,fast,9,9,0.0,4.34812,1.0,4.412042222222222,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage4,deep,deep,69,69,8.847826086956522,4.300637608695652,1.1594202898550725,13.221321666666666,0.5072463768115942,0.30434782608695654,0.463768115942029,0.5072463768115942,0.6956521739130435
risky_ps_linear,stage4,deep,fast,6,6,9.0,5.7038275,4.416666666666667,14.766860833333332,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
risky_ps_linear,stage4,fast,deep,21,21,0.0,4.926100476190476,1.619047619047619,4.996252857142857,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage4,fast,fast,4,4,0.0,3.20743125,0.75,3.26845625,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage5,deep,deep,66,66,8.666666666666666,4.33123,1.1363636363636365,13.071005757575758,0.5151515151515151,0.3181818181818182,0.4696969696969697,0.5151515151515151,0.6818181818181818
risky_ps_linear,stage5,deep,fast,9,9,10.277777777777779,5.011753333333333,3.5,15.353997777777778,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556
risky_ps_linear,stage5,fast,deep,19,19,0.0,4.938114736842105,1.605263157894737,5.008167368421053,1.0,0.0,1.0,1.0,1.0
risky_ps_linear,stage5,fast,fast,6,6,0.0,3.7422758333333332,1.0833333333333333,3.8066591666666665,1.0,0.0,1.0,1.0,1.0
risky_ps_old,ALL,deep,deep,238,75,7.720588235294118,4.20600506302521,1.1701680672268908,11.99951724789916,0.5546218487394958,0.2857142857142857,0.5042016806722689,0.5546218487394958,0.7016806722689075
risky_ps_old,ALL,deep,fast,62,46,8.362903225806452,4.584756048387097,2.5725806451612905,13.016725403225808,0.5161290322580645,0.0,0.5161290322580645,0.5161290322580645,0.5967741935483871
